case,city,date,summary,fatalities,injured,total_victims,location,age_of_shooter,race,gender,latitude,longitude,type,year
Alturas tribal shooting,"Alturas, California",2/20/2014,"Cherie Lash Rhoades, 44, opened fire at the Cedarville Rancheria Tribal Office and Community Center, killing four and wounding two. After running out of ammunition, Rhoades grabbed a butcher knife and stabbed another person.",4,2,6,Spree,44,Native American,Female,41.487104,-120.542237,Spree,2014
Washington Navy Yard shooting,"Washington, D.C.",9/16/2013,"Aaron Alexis, 34, a military veteran and contractor from Texas, opened fire in the Navy installation, killing 12 people and wounding 8 before being shot dead by police.",12,8,20,Military,34,Black,Male,38.874981,-76.99453,Mass,2013
Hialeah apartment shooting,"Hialeah, Florida",7/26/2013,"Pedro Vargas, 42, set fire to his apartment, killed six people in the complex, and held another two hostages at gunpoint before a SWAT team stormed the building and fatally shot him.",7,0,7,Other,42,Latino,Male,25.864338,-80.311775,Mass,2013
Santa Monica rampage,"Santa Monica, California",6/7/2013,"John Zawahri, 23, armed with a homemade assault rifle and high-capacity magazines, killed his brother and father at home and then headed to Santa Monica College, where he was eventually killed by police.",6,3,9,Other,23,White,Male,34.008617,-118.494754,Mass,2013
Pinewood Village Apartment shooting,"Federal Way, Washington",4/21/2013,"Dennis Clark III, 27, shot and killed his girlfriend in their shared apartment, and then shot two witnesses in the building's parking lot and a third victim in another apartment, before being killed by police.",5,0,5,Other,27,Black,Male,47.3129607,-122.3393665,Mass,2013
Mohawk Valley shootings,"Herkimer County, New York",3/13/2013,"Kurt Myers, 64, shot six people in neighboring towns, killing two in a barbershop and two at a car care business, before being killed by officers in a shootout after a nearly 19-hour standoff.",5,2,7,Other,64,White,Male,43.045601,-74.984891,Mass,2013
Sandy Hook Elementary massacre,"Newtown, Connecticut",12/14/2012,"Adam Lanza, 20, shot his mother dead at their home then drove to Sandy Hook Elementary school. He forced his way inside and opened fire, killing 20 children and six adults before committing suicide.",27,2,29,School,20,White,Male,41.4123225,-73.31142358,Mass,2012
Accent Signage Systems shooting,"Minneapolis, Minnesota",9/27/2012,"Andrew Engeldinger, 36, upon learning he was being fired, went on a shooting rampage, killing the business owner, three fellow employees, and a UPS driver. He then killed himself.",7,1,8,Workplace,36,White,Male,44.977425,-93.310408,Mass,2012
Sikh temple shooting,"Oak Creek, Wisconsin",8/5/2012,"U.S. Army veteran Wade Michael Page, 40, opened fire in a Sikh gurdwara before he died from a self-inflicted gunshot would during a shootout with police.",7,3,10,Religious,40,White,Male,42.8858503,-87.8631362,Mass,2012
Aurora theater shooting,"Aurora, Colorado",7/20/2012,"James Holmes, 24, opened fire in a movie theater during the opening night of ""The Dark Night Rises"" and was later arrested outside.",12,70,82,Spree,24,White,Male,39.706038,-104.820594,Spree,2012
